generation,best_fitness,average_fitness,std_dev_fitness,mutation_rate,mutation_strength,best_weight_0,best_weight_1,best_weight_2,best_weight_3,best_weight_4,best_weight_5,best_weight_6
1,1469.33,200.64,220.98,0.1000,0.2500,0.2796,-0.8147,-0.1434,-0.0285,0.9077,0.6659,-0.5585
2,2231.67,650.02,352.48,0.0900,0.2400,-0.1757,-0.1874,-0.1908,-0.0397,0.5949,0.3271,0.4713
3,2545.67,1122.15,520.93,0.0800,0.2300,-0.0059,-0.4214,-0.1731,-0.0355,0.7116,0.4535,0.0871
4,2545.67,1248.72,605.78,0.0700,0.2200,-0.0059,-0.4214,-0.1731,-0.0355,0.7116,0.4535,0.0871
5,2931.67,1429.91,721.53,0.0600,0.2100,-0.0731,-0.3797,-0.2059,0.0312,0.6757,0.2728,0.1428
6,3291.00,1526.78,772.67,0.0500,0.2000,-0.0391,-0.1156,-0.1651,-0.4596,0.8871,0.6769,-0.3052
7,3291.00,1568.53,812.14,0.0400,0.1900,-0.0391,-0.1156,-0.1651,-0.4596,0.8871,0.6769,-0.3052
8,3291.00,1643.75,934.15,0.0300,0.1800,-0.0391,-0.1156,-0.1651,-0.4596,0.8871,0.6769,-0.3052
9,3291.00,1730.32,1009.99,0.0200,0.1700,-0.0391,-0.1156,-0.1651,-0.4596,0.8871,0.6769,-0.3052
10,3291.00,2357.38,1157.88,0.0100,0.1600,-0.0391,-0.1156,-0.1651,-0.4596,0.8871,0.6769,-0.3052
11,3291.00,2891.11,894.67,0.0100,0.1500,-0.0391,-0.1156,-0.1651,-0.4596,0.8871,0.6769,-0.3052
12,3291.00,2999.01,784.73,0.0100,0.1400,-0.0391,-0.1156,-0.1651,-0.4596,0.8871,0.6769,-0.3052
13,3291.00,2881.71,925.60,0.0100,0.1300,-0.0391,-0.1156,-0.1651,-0.4596,0.8871,0.6769,-0.3052
14,3291.00,2922.62,855.80,0.0100,0.1200,-0.0391,-0.1156,-0.1651,-0.4596,0.8871,0.6769,-0.3052
15,3291.00,2845.72,954.81,0.0100,0.1100,-0.0391,-0.1156,-0.1651,-0.4596,0.8871,0.6769,-0.3052
16,3291.00,2936.12,863.85,0.0100,0.1000,-0.0391,-0.1156,-0.1651,-0.4596,0.8871,0.6769,-0.3052
17,3291.00,2659.61,1048.01,0.0300,0.1200,-0.0391,-0.1156,-0.1651,-0.4596,0.8871,0.6769,-0.3052
18,3291.00,2440.96,1146.92,0.0500,0.1400,-0.0391,-0.1156,-0.1651,-0.4596,0.8871,0.6769,-0.3052
19,3291.00,2278.06,1185.70,0.0700,0.1600,-0.0391,-0.1156,-0.1651,-0.4596,0.8871,0.6769,-0.3052
20,3291.00,2170.72,1210.33,0.0900,0.1800,-0.0391,-0.1156,-0.1651,-0.4596,0.8871,0.6769,-0.3052
21,3291.00,2054.13,1192.86,0.1100,0.2000,-0.0391,-0.1156,-0.1651,-0.4596,0.8871,0.6769,-0.3052
22,3291.00,1712.04,1128.05,0.1300,0.2200,-0.0391,-0.1156,-0.1651,-0.4596,0.8871,0.6769,-0.3052
23,3291.00,1674.42,1103.85,0.1500,0.2400,-0.0391,-0.1156,-0.1651,-0.4596,0.8871,0.6769,-0.3052
24,3291.00,1699.41,1092.95,0.1700,0.2600,-0.0391,-0.1156,-0.1651,-0.4596,0.8871,0.6769,-0.3052
25,3291.00,1678.23,1122.32,0.1900,0.2800,-0.0391,-0.1156,-0.1651,-0.4596,0.8871,0.6769,-0.3052
26,3291.00,1379.24,972.48,0.2100,0.3000,-0.0391,-0.1156,-0.1651,-0.4596,0.8871,0.6769,-0.3052
27,3291.00,1379.02,1001.71,0.2300,0.3200,-0.0391,-0.1156,-0.1651,-0.4596,0.8871,0.6769,-0.3052
28,3291.00,1320.20,995.51,0.2500,0.3400,-0.0391,-0.1156,-0.1651,-0.4596,0.8871,0.6769,-0.3052
29,3291.00,1323.14,970.83,0.2700,0.3600,-0.0391,-0.1156,-0.1651,-0.4596,0.8871,0.6769,-0.3052
30,3291.00,1278.01,951.71,0.2900,0.3800,-0.0391,-0.1156,-0.1651,-0.4596,0.8871,0.6769,-0.3052
31,3291.00,1310.80,864.65,0.3100,0.4000,-0.0391,-0.1156,-0.1651,-0.4596,0.8871,0.6769,-0.3052
32,3291.00,1184.52,841.39,0.3300,0.4200,-0.0391,-0.1156,-0.1651,-0.4596,0.8871,0.6769,-0.3052
33,3291.00,1100.09,772.44,0.3500,0.4400,-0.0391,-0.1156,-0.1651,-0.4596,0.8871,0.6769,-0.3052
34,3291.00,1184.68,796.85,0.3500,0.4600,-0.0391,-0.1156,-0.1651,-0.4596,0.8871,0.6769,-0.3052
35,3291.00,1060.15,770.91,0.3500,0.4800,-0.0391,-0.1156,-0.1651,-0.4596,0.8871,0.6769,-0.3052
36,3291.00,1059.42,745.82,0.3500,0.5000,-0.0391,-0.1156,-0.1651,-0.4596,0.8871,0.6769,-0.3052
37,3291.00,1115.95,780.45,0.3500,0.5200,-0.0391,-0.1156,-0.1651,-0.4596,0.8871,0.6769,-0.3052
38,3291.00,1144.69,863.47,0.3500,0.5400,-0.0391,-0.1156,-0.1651,-0.4596,0.8871,0.6769,-0.3052
39,3291.00,1070.13,800.23,0.3500,0.5500,-0.0391,-0.1156,-0.1651,-0.4596,0.8871,0.6769,-0.3052
40,3291.00,1034.62,770.70,0.3500,0.5500,-0.0391,-0.1156,-0.1651,-0.4596,0.8871,0.6769,-0.3052
41,3291.00,1065.29,776.00,0.3500,0.5500,-0.0391,-0.1156,-0.1651,-0.4596,0.8871,0.6769,-0.3052
42,3291.00,1092.60,805.27,0.3500,0.5500,-0.0391,-0.1156,-0.1651,-0.4596,0.8871,0.6769,-0.3052
43,3291.00,1189.43,841.93,0.3500,0.5500,-0.0391,-0.1156,-0.1651,-0.4596,0.8871,0.6769,-0.3052
44,3291.00,1133.82,798.78,0.3500,0.5500,-0.0391,-0.1156,-0.1651,-0.4596,0.8871,0.6769,-0.3052
45,3652.67,1103.54,798.70,0.3500,0.5500,-0.2194,-0.6343,-0.1278,-0.4596,1.3816,0.6769,-0.3052
46,3652.67,1171.21,817.33,0.3400,0.5400,-0.2194,-0.6343,-0.1278,-0.4596,1.3816,0.6769,-0.3052
47,3652.67,1073.49,784.63,0.3300,0.5300,-0.2194,-0.6343,-0.1278,-0.4596,1.3816,0.6769,-0.3052
48,4026.67,1110.80,850.51,0.3200,0.5200,-0.0885,-0.2575,-0.1549,-0.4596,1.0224,0.6769,0.0661
49,4026.67,1115.68,816.39,0.3100,0.5100,-0.0885,-0.2575,-0.1549,-0.4596,1.0224,0.6769,0.0661
50,4026.67,1171.89,827.73,0.3000,0.5000,-0.0885,-0.2575,-0.1549,-0.4596,1.0224,0.6769,0.0661
51,4026.67,1182.51,854.89,0.2900,0.4900,-0.0885,-0.2575,-0.1549,-0.4596,1.0224,0.6769,0.0661
52,4026.67,1266.08,919.46,0.2800,0.4800,-0.0885,-0.2575,-0.1549,-0.4596,1.0224,0.6769,0.0661
53,4026.67,1211.98,876.01,0.2700,0.4700,-0.0885,-0.2575,-0.1549,-0.4596,1.0224,0.6769,0.0661
54,4026.67,1367.62,1042.38,0.2600,0.4600,-0.0885,-0.2575,-0.1549,-0.4596,1.0224,0.6769,0.0661
