generation,best_fitness,average_fitness,std_dev_fitness,mutation_rate,mutation_strength,best_weight_0,best_weight_1,best_weight_2,best_weight_3,best_weight_4,best_weight_5,best_weight_6
1,1504.67,204.39,230.24,0.1000,0.2500,-0.7015254676639695,-0.10844512415471597,-0.5411388817407523,0.5886586276588004,0.9172750607571698,0.4489866811316807,-0.6653211175036315
2,2175.67,744.62,376.57,0.0900,0.2400,0.009959428016519285,-0.12269637122894991,-0.043894704561736025,0.09603964154111422,0.6576981136801583,0.2627362736580608,-0.588601228995031
3,2837.33,1035.36,529.80,0.0800,0.2300,0.004330506223880643,-0.10243461304412668,-0.045317947345924287,-0.009306506179383361,0.6940197549588458,0.27054002457772197,-0.6545662067293387
4,3091.67,1358.86,675.96,0.0700,0.2200,-0.016370804477582705,-0.1179545787429766,-0.06427325720432413,0.07289414182927982,0.6805508217942603,0.2792394110047593,-0.602452060497558
5,3091.67,1498.00,846.13,0.0600,0.2100,-0.016370804477582705,-0.1179545787429766,-0.06427325720432413,0.07289414182927982,0.6805508217942603,0.2792394110047593,-0.602452060497558
6,3091.67,1825.30,1009.51,0.0500,0.2000,-0.016370804477582705,-0.1179545787429766,-0.06427325720432413,0.07289414182927982,0.6805508217942603,0.2792394110047593,-0.602452060497558
7,3091.67,2484.12,974.49,0.0400,0.1900,-0.016370804477582705,-0.1179545787429766,-0.06427325720432413,0.07289414182927982,0.6805508217942603,0.2792394110047593,-0.602452060497558
8,3091.67,2675.58,827.96,0.0300,0.1800,-0.016370804477582705,-0.1179545787429766,-0.06427325720432413,0.07289414182927982,0.6805508217942603,0.2792394110047593,-0.602452060497558
9,3091.67,2629.70,921.76,0.0200,0.1700,-0.016370804477582705,-0.1179545787429766,-0.06427325720432413,0.07289414182927982,0.6805508217942603,0.2792394110047593,-0.602452060497558
10,3091.67,2786.40,767.57,0.0100,0.1600,-0.016370804477582705,-0.1179545787429766,-0.06427325720432413,0.07289414182927982,0.6805508217942603,0.2792394110047593,-0.602452060497558
11,3091.67,2792.06,774.11,0.0100,0.1500,-0.016370804477582705,-0.1179545787429766,-0.06427325720432413,0.07289414182927982,0.6805508217942603,0.2792394110047593,-0.602452060497558
12,3091.67,2815.02,721.45,0.0100,0.1400,-0.016370804477582705,-0.1179545787429766,-0.06427325720432413,0.07289414182927982,0.6805508217942603,0.2792394110047593,-0.602452060497558
13,3091.67,2832.06,712.64,0.0100,0.1300,-0.016370804477582705,-0.1179545787429766,-0.06427325720432413,0.07289414182927982,0.6805508217942603,0.2792394110047593,-0.602452060497558
14,3091.67,2774.74,760.65,0.0100,0.1200,-0.016370804477582705,-0.1179545787429766,-0.06427325720432413,0.07289414182927982,0.6805508217942603,0.2792394110047593,-0.602452060497558
15,3091.67,2773.48,802.69,0.0100,0.1100,-0.016370804477582705,-0.1179545787429766,-0.06427325720432413,0.07289414182927982,0.6805508217942603,0.2792394110047593,-0.602452060497558
16,3091.67,2719.63,824.99,0.0100,0.1000,-0.016370804477582705,-0.1179545787429766,-0.06427325720432413,0.07289414182927982,0.6805508217942603,0.2792394110047593,-0.602452060497558
17,3091.67,2772.37,784.06,0.0100,0.0900,-0.016370804477582705,-0.1179545787429766,-0.06427325720432413,0.07289414182927982,0.6805508217942603,0.2792394110047593,-0.602452060497558
18,3091.67,2813.00,747.05,0.0100,0.0800,-0.016370804477582705,-0.1179545787429766,-0.06427325720432413,0.07289414182927982,0.6805508217942603,0.2792394110047593,-0.602452060497558
19,3091.67,2839.97,669.87,0.0100,0.0700,-0.016370804477582705,-0.1179545787429766,-0.06427325720432413,0.07289414182927982,0.6805508217942603,0.2792394110047593,-0.602452060497558
20,3091.67,2608.60,874.46,0.0250,0.0850,-0.016370804477582705,-0.1179545787429766,-0.06427325720432413,0.07289414182927982,0.6805508217942603,0.2792394110047593,-0.602452060497558
21,3091.67,2560.36,925.35,0.0400,0.1000,-0.016370804477582705,-0.1179545787429766,-0.06427325720432413,0.07289414182927982,0.6805508217942603,0.2792394110047593,-0.602452060497558
22,3091.67,2244.62,1032.42,0.0550,0.1150,-0.016370804477582705,-0.1179545787429766,-0.06427325720432413,0.07289414182927982,0.6805508217942603,0.2792394110047593,-0.602452060497558
23,3091.67,2178.18,1029.25,0.0700,0.1300,-0.016370804477582705,-0.1179545787429766,-0.06427325720432413,0.07289414182927982,0.6805508217942603,0.2792394110047593,-0.602452060497558
24,3091.67,1993.81,1078.21,0.0850,0.1450,-0.016370804477582705,-0.1179545787429766,-0.06427325720432413,0.07289414182927982,0.6805508217942603,0.2792394110047593,-0.602452060497558
25,3091.67,2017.29,1072.63,0.1000,0.1600,-0.016370804477582705,-0.1179545787429766,-0.06427325720432413,0.07289414182927982,0.6805508217942603,0.2792394110047593,-0.602452060497558
26,3091.67,1989.06,1082.93,0.1150,0.1750,-0.016370804477582705,-0.1179545787429766,-0.06427325720432413,0.07289414182927982,0.6805508217942603,0.2792394110047593,-0.602452060497558
27,3091.67,1872.10,1079.25,0.1300,0.1900,-0.016370804477582705,-0.1179545787429766,-0.06427325720432413,0.07289414182927982,0.6805508217942603,0.2792394110047593,-0.602452060497558
28,3091.67,1866.93,1033.63,0.1450,0.2050,-0.016370804477582705,-0.1179545787429766,-0.06427325720432413,0.07289414182927982,0.6805508217942603,0.2792394110047593,-0.602452060497558
