generation,best_fitness,average_fitness,std_dev_fitness,mutation_rate,mutation_strength,best_weight_0,best_weight_1,best_weight_2,best_weight_3,best_weight_4,best_weight_5,best_weight_6
1,722.00,163.30,153.43,0.1500,0.3000,-0.9812,-0.9278,0.6441,-0.0325,0.6102,0.3024,0.8543
2,648.50,208.30,185.60,0.1400,0.2900,-0.9812,-0.9278,0.6441,-0.0325,0.6102,0.3024,0.8543
3,1345.00,374.20,308.18,0.1300,0.2800,-0.9657,-0.7138,0.2043,0.1364,0.5293,0.1409,0.9620
4,1629.00,452.30,342.94,0.1200,0.2700,-0.7791,-0.4826,0.6117,-0.2677,0.6002,0.3536,0.8396
5,869.50,338.32,157.40,0.1100,0.2600,-0.7791,-0.4826,0.6117,-0.2974,0.6002,0.3536,0.8396
6,1224.00,500.35,294.16,0.1000,0.2500,-0.9275,-0.6776,0.2247,0.1267,0.5507,0.1355,0.8627
7,1147.50,486.57,247.03,0.0900,0.2400,-0.8065,-0.5253,0.2715,0.0255,0.5472,0.1306,0.8105
8,1135.00,590.92,285.40,0.0800,0.2300,-0.8224,-0.6114,0.4241,0.0273,0.5675,0.2620,0.7844
9,881.00,471.25,208.24,0.0700,0.2200,-0.8652,-0.5754,0.2983,0.1737,0.7298,0.1661,0.8455
10,1895.00,641.73,450.39,0.0600,0.2100,-0.8710,-0.6105,0.3049,0.0137,0.6707,0.1723,0.8494
11,1318.50,726.48,315.76,0.0500,0.2000,-0.8799,-0.7164,0.4004,0.0205,0.7392,0.2446,0.8380
12,1166.50,452.18,273.15,0.0400,0.1900,-0.8280,-0.7449,0.3296,0.0238,0.6353,0.1969,0.6996
13,1405.50,472.10,278.74,0.0300,0.1800,-0.8517,-0.6445,0.3301,0.0956,0.6948,0.1888,0.8118
14,1405.50,633.38,331.19,0.0200,0.1700,-0.8846,-0.6229,0.3389,0.0236,0.5938,0.1895,0.7651
15,1452.50,528.85,374.52,0.0200,0.1600,-0.8846,-0.6238,0.3395,0.0236,0.6009,0.1900,0.7883
16,1125.50,485.82,285.85,0.0200,0.1500,-0.8845,-0.6257,0.3408,0.0235,0.5978,0.2976,0.7701
17,1368.00,529.02,309.53,0.0200,0.1400,-0.8843,-0.6315,0.3448,0.0056,0.6082,0.2540,0.7878
18,1178.50,554.83,311.00,0.0200,0.1300,-0.8836,-0.6691,0.3412,0.0235,0.6002,0.2711,0.7727
19,1484.50,478.88,324.65,0.0200,0.1200,-0.8799,-0.6360,0.3403,0.0235,0.6020,0.2103,0.7665
20,944.50,483.40,212.13,0.0200,0.1100,-0.8832,-0.6322,0.3435,0.0132,0.6064,0.2418,0.7827
21,1504.50,613.65,342.47,0.0400,0.1300,-0.8751,-0.6514,0.3441,0.0235,0.6064,0.2175,0.7452
22,1284.50,611.92,240.19,0.0600,0.1500,-0.8783,-0.6441,0.2366,0.0225,0.6069,0.2291,0.7652
23,1140.00,521.83,280.57,0.0800,0.1700,-0.8832,-0.5943,0.3435,0.0132,0.6064,0.2418,0.7827
24,1240.50,608.58,297.03,0.1000,0.1900,-0.8308,-0.6331,0.3422,0.0196,0.6047,0.2478,0.7776
25,1220.00,521.65,283.70,0.1200,0.2100,-0.8077,-0.6354,0.3398,0.0235,0.6033,0.2688,0.7700
26,1007.50,544.90,244.94,0.1400,0.2300,-0.8077,-0.6354,0.3398,0.0235,0.6033,0.2688,0.7700
27,1920.00,531.38,362.28,0.1600,0.2500,-0.8804,-0.7535,0.3932,0.0713,0.6255,0.2889,0.7594
28,1281.00,454.02,286.64,0.1500,0.2400,-0.8575,-0.6329,0.2925,0.0220,0.6053,0.2414,0.6084
29,816.50,432.70,181.57,0.1400,0.2300,-0.8623,-0.8291,0.3154,0.0215,0.3178,0.2429,0.7739
30,896.00,440.05,242.22,0.1300,0.2200,-0.8533,-0.6329,0.2838,0.0194,0.5045,0.1379,0.7760
31,1066.50,594.02,213.58,0.1200,0.2100,-0.8125,-0.6316,0.1396,0.0230,0.5910,0.2592,0.7970
32,1161.50,464.35,255.09,0.1100,0.2000,-0.8125,-0.5924,0.1396,0.0230,0.5910,0.2592,0.7970
33,1185.00,503.02,269.55,0.1000,0.1900,-0.8529,-0.6313,0.3341,0.0232,0.5892,0.2450,0.9196
34,1803.00,618.42,403.72,0.0900,0.1800,-0.7062,-0.6323,0.3519,0.0079,0.5619,0.2474,0.7709
35,1437.00,580.20,309.94,0.0800,0.1700,-0.7181,-0.6328,0.3481,0.0123,0.6279,0.2359,0.7711
36,964.50,521.95,219.95,0.0700,0.1600,-0.7158,-0.6324,0.3421,0.0093,0.5758,0.2490,0.7712
37,986.50,481.85,197.83,0.0600,0.1500,-0.7729,-0.6708,0.3469,0.0264,0.5622,0.2006,0.7439
38,1404.50,498.12,297.59,0.0800,0.1700,-0.7729,-0.6708,0.3469,0.0264,0.5622,0.2006,0.7439
39,1256.50,523.00,309.48,0.1000,0.1900,-0.8695,-0.6364,0.3249,0.0360,0.5701,0.3399,0.7618
40,959.50,509.27,224.55,0.1200,0.2100,-0.7418,-0.6364,0.3334,0.0342,0.5647,0.2252,0.7501
41,1151.00,620.67,275.87,0.1400,0.2300,-0.8207,-0.7687,0.4015,0.0526,0.5525,0.2176,0.6793
42,926.00,550.55,236.11,0.1600,0.2500,-0.7803,-0.7047,0.3682,0.0009,0.5584,0.2231,0.6625
43,1133.00,536.08,249.26,0.1800,0.2700,-0.7569,-0.5943,0.4976,-0.0586,0.5942,0.2528,0.7573
44,1718.50,588.88,420.10,0.2000,0.2900,-0.7552,-0.6549,0.3443,0.3262,0.7494,0.2417,0.7609
45,868.50,545.05,227.41,0.2200,0.3100,-0.7898,-0.6225,0.4440,-0.1830,0.5843,0.2717,0.7526
46,1699.00,607.08,370.91,0.2400,0.3300,-0.7747,-0.7894,0.4069,0.0724,0.6954,0.2429,0.7923
47,1186.50,523.90,263.91,0.2600,0.3500,-0.7497,-0.6667,0.3723,0.1971,0.8829,0.3055,0.7903
48,1451.00,564.48,326.17,0.2800,0.3700,-0.8503,-0.6727,0.3507,0.0033,0.8974,0.2997,0.5741
49,1511.50,631.88,335.88,0.3000,0.3900,-0.7949,-0.7253,0.4033,0.0338,0.5848,0.5115,0.7478
50,1571.00,757.77,437.61,0.3000,0.4100,-0.4732,-0.4080,0.1700,0.1106,0.9132,0.5085,1.5583
