generation,best_fitness,average_fitness,std_dev_fitness,mutation_rate,mutation_strength,best_weight_0,best_weight_1,best_weight_2,best_weight_3,best_weight_4,best_weight_5,best_weight_6
1,863.33,190.69,169.66,0.1000,0.2500,-0.929267341572489,0.40539989018552136,-0.07239589140635916,0.5439105545406397,0.14888893543505088,0.006671005635388916,-0.18051924384464235
2,1864.00,590.35,317.62,0.0900,0.2400,-0.17912322938539377,-0.6513131835108008,-0.10578450754266219,0.34946982645041436,0.665126566123182,0.4637674870903408,0.09987871218075606
3,2801.33,917.73,456.36,0.0800,0.2300,-0.31077954209448405,-0.09300737616866502,-0.13905098668417076,-0.3653756845494945,0.8427627077172622,0.4775400713607354,-0.24273459409819065
4,2801.33,1267.01,628.84,0.0700,0.2200,-0.31077954209448405,-0.09300737616866502,-0.13905098668417076,-0.3653756845494945,0.8427627077172622,0.4775400713607354,-0.24273459409819065
5,3531.00,1437.12,732.49,0.0600,0.2100,-0.23478970048819947,-0.1920597062569656,-0.17739950768695695,-0.6043436925197317,0.8534649705161865,0.42490370113120746,-0.1779196090708043
6,3531.00,1582.49,878.37,0.0500,0.2000,-0.23478970048819947,-0.1920597062569656,-0.17739950768695695,-0.6043436925197317,0.8534649705161865,0.42490370113120746,-0.1779196090708043
7,3531.00,1857.26,979.21,0.0400,0.1900,-0.23478970048819947,-0.1920597062569656,-0.17739950768695695,-0.6043436925197317,0.8534649705161865,0.42490370113120746,-0.1779196090708043
8,3531.00,2445.60,1248.70,0.0300,0.1800,-0.23478970048819947,-0.1920597062569656,-0.17739950768695695,-0.6043436925197317,0.8534649705161865,0.42490370113120746,-0.1779196090708043
9,3531.00,3153.26,898.20,0.0200,0.1700,-0.23478970048819947,-0.1920597062569656,-0.17739950768695695,-0.6043436925197317,0.8534649705161865,0.42490370113120746,-0.1779196090708043
10,3531.00,3197.56,863.19,0.0100,0.1600,-0.23478970048819947,-0.1920597062569656,-0.17739950768695695,-0.6043436925197317,0.8534649705161865,0.42490370113120746,-0.1779196090708043
11,3531.00,3272.45,762.30,0.0100,0.1500,-0.23478970048819947,-0.1920597062569656,-0.17739950768695695,-0.6043436925197317,0.8534649705161865,0.42490370113120746,-0.1779196090708043
12,3531.00,3095.86,987.23,0.0100,0.1400,-0.23478970048819947,-0.1920597062569656,-0.17739950768695695,-0.6043436925197317,0.8534649705161865,0.42490370113120746,-0.1779196090708043
13,3531.00,3204.97,852.82,0.0100,0.1300,-0.23478970048819947,-0.1920597062569656,-0.17739950768695695,-0.6043436925197317,0.8534649705161865,0.42490370113120746,-0.1779196090708043
14,3531.00,3237.43,810.51,0.0100,0.1200,-0.23478970048819947,-0.1920597062569656,-0.17739950768695695,-0.6043436925197317,0.8534649705161865,0.42490370113120746,-0.1779196090708043
15,3531.00,3176.56,889.58,0.0100,0.1100,-0.23478970048819947,-0.1920597062569656,-0.17739950768695695,-0.6043436925197317,0.8534649705161865,0.42490370113120746,-0.1779196090708043
16,3531.00,3130.24,930.68,0.0100,0.1000,-0.23478970048819947,-0.1920597062569656,-0.17739950768695695,-0.6043436925197317,0.8534649705161865,0.42490370113120746,-0.1779196090708043
17,3531.00,3176.67,912.77,0.0100,0.0900,-0.23478970048819947,-0.1920597062569656,-0.17739950768695695,-0.6043436925197317,0.8534649705161865,0.42490370113120746,-0.1779196090708043
18,3531.00,3142.09,952.44,0.0100,0.0800,-0.23478970048819947,-0.1920597062569656,-0.17739950768695695,-0.6043436925197317,0.8534649705161865,0.42490370113120746,-0.1779196090708043
19,3531.00,3220.41,835.89,0.0100,0.0700,-0.23478970048819947,-0.1920597062569656,-0.17739950768695695,-0.6043436925197317,0.8534649705161865,0.42490370113120746,-0.1779196090708043
20,3531.00,3142.07,950.99,0.0100,0.0600,-0.23478970048819947,-0.1920597062569656,-0.17739950768695695,-0.6043436925197317,0.8534649705161865,0.42490370113120746,-0.1779196090708043
21,3531.00,3124.57,920.37,0.0100,0.0500,-0.23478970048819947,-0.1920597062569656,-0.17739950768695695,-0.6043436925197317,0.8534649705161865,0.42490370113120746,-0.1779196090708043
